Date,PkRzeszPilsu-PM2.5-1g,PkRzeszPilsu-PM10-1g,PkRzeszPilsu-CO-1g,PkRzeszPilsu-NO2-1g,PkRzeszRejta-O3-1g,PkRzeszRejta-SO2-1g
2025-02-15 04:00:00,20.0,23.8,0.315,15.1,46.1,1.8
2025-02-15 05:00:00,20.8,24.4,0.314,16.3,42.9,1.8
2025-02-15 06:00:00,22.6,26.5,0.322,19.4,40.2,1.9
2025-02-15 07:00:00,23.1,27.1,0.326,20.8,37.7,1.9
2025-02-15 08:00:00,21.9,25.6,0.356,22.3,41.2,2.0
2025-02-15 09:00:00,17.3,21.2,0.324,22.2,49.8,2.0
2025-02-15 10:00:00,21.0,56.1,0.346,35.4,55.8,1.6
2025-02-15 11:00:00,17.7,54.2,0.292,21.3,60.9,1.0
2025-02-15 12:00:00,16.3,53.1,0.284,19.1,64.7,0.5
2025-02-15 13:00:00,18.5,67.2,0.339,24.6,67.3,0.6
2025-02-15 14:00:00,13.0,38.8,0.285,26.5,68.5,2.0
2025-02-15 15:00:00,12.6,35.4,0.313,31.4,66.8,2.6
2025-02-15 16:00:00,12.9,38.4,0.371,36.5,67.3,1.1
2025-02-15 17:00:00,14.1,33.9,0.372,36.0,66.4,1.8
2025-02-15 18:00:00,15.3,30.8,0.393,36.2,57.6,2.4
2025-02-15 19:00:00,29.5,60.2,0.593,50.0,54.7,3.5
2025-02-15 20:00:00,18.2,33.9,0.426,41.2,53.3,2.9
2025-02-15 21:00:00,24.8,40.0,0.497,45.0,53.1,3.0
